商品管理番号(URL)※必須,商品名,JANコード,システム連携用SKU番号,仕入れURL,仕入れ値(元),セット入数,在庫管理番号,楽天SKU管理番号,仕入先,規定在庫数,実在庫(手持ち),輸送中,直近30日販売数,60日前〜31日前の販売数,お客様専用メモ,備考,内部メモ,セット構成JSON,単品フラグ(TRUE/FALSE)
y76_b-b,メンズアームカバー 2組セット,,ブラック-ブラック,,,,,,y76_b-b,,0,0,0,0,,,,,FALSE
y76_b-w,メンズアームカバー 2組セット,,ブラック-ホワイト,,,,,,y76_b-w,,0,0,0,0,,,,,FALSE
y76_b-l,メンズアームカバー 2組セット,,ブラック-ライトグレー,,,,,,y76_b-l,,0,0,0,0,,,,,FALSE
y76_b-d,メンズアームカバー 2組セット,,ブラック-ダークグレー,,,,,,y76_b-d,,0,0,0,0,,,,,FALSE
y76_b-n,メンズアームカバー 2組セット,,ブラック-ネイビー,,,,,,y76_b-n,,0,0,0,0,,,,,FALSE
y76_w-b,メンズアームカバー 2組セット,,ホワイト-ブラック,,,,,,y76_w-b,,0,0,0,0,,,,,FALSE
y76_w-w,メンズアームカバー 2組セット,,ホワイト-ホワイト,,,,,,y76_w-w,,0,0,0,0,,,,,FALSE
y76_w-l,メンズアームカバー 2組セット,,ホワイト-ライトグレー,,,,,,y76_w-l,,0,0,0,0,,,,,FALSE
y76_w-d,メンズアームカバー 2組セット,,ホワイト-ダークグレー,,,,,,y76_w-d,,0,0,0,0,,,,,FALSE
y76_w-n,メンズアームカバー 2組セット,,ホワイト-ネイビー,,,,,,y76_w-n,,0,0,0,0,,,,,FALSE
y76_l-b,メンズアームカバー 2組セット,,ライトグレー-ブラック,,,,,,y76_l-b,,0,0,0,0,,,,,FALSE
y76_l-w,メンズアームカバー 2組セット,,ライトグレー-ホワイト,,,,,,y76_l-w,,0,0,0,0,,,,,FALSE
y76_l-l,メンズアームカバー 2組セット,,ライトグレー-ライトグレー,,,,,,y76_l-l,,0,0,0,0,,,,,FALSE
y76_l-d,メンズアームカバー 2組セット,,ライトグレー-ダークグレー,,,,,,y76_l-d,,0,0,0,0,,,,,FALSE
y76_l-n,メンズアームカバー 2組セット,,ライトグレー-ネイビー,,,,,,y76_l-n,,0,0,0,0,,,,,FALSE
y76_d-b,メンズアームカバー 2組セット,,ダークグレー-ブラック,,,,,,y76_d-b,,0,0,0,0,,,,,FALSE
y76_d-w,メンズアームカバー 2組セット,,ダークグレー-ホワイト,,,,,,y76_d-w,,0,0,0,0,,,,,FALSE
y76_d-l,メンズアームカバー 2組セット,,ダークグレー-ライトグレー,,,,,,y76_d-l,,0,0,0,0,,,,,FALSE
y76_d-d,メンズアームカバー 2組セット,,ダークグレー-ダークグレー,,,,,,y76_d-d,,0,0,0,0,,,,,FALSE
y76_d-n,メンズアームカバー 2組セット,,ダークグレー-ネイビー,,,,,,y76_d-n,,0,0,0,0,,,,,FALSE
y76_n-b,メンズアームカバー 2組セット,,ネイビー-ブラック,,,,,,y76_n-b,,0,0,0,0,,,,,FALSE
y76_n-w,メンズアームカバー 2組セット,,ネイビー-ホワイト,,,,,,y76_n-w,,0,0,0,0,,,,,FALSE
y76_n-l,メンズアームカバー 2組セット,,ネイビー-ライトグレー,,,,,,y76_n-l,,0,0,0,0,,,,,FALSE
y76_n-d,メンズアームカバー 2組セット,,ネイビー-ダークグレー,,,,,,y76_n-d,,0,0,0,0,,,,,FALSE
y76_n-n,メンズアームカバー 2組セット,,ネイビー-ネイビー,,,,,,y76_n-n,,0,0,0,0,,,,,FALSE
y76_black,メンズアームカバー 2組セット,,ブラック,,,,,,y76_black,,0,0,0,0,,,,,TRUE
y76_white,メンズアームカバー 2組セット,,ホワイト,,,,,,y76_white,,0,0,0,0,,,,,TRUE
y76_lightglay,メンズアームカバー 2組セット,,ライトグレー,,,,,,y76_lightglay,,0,0,0,0,,,,,TRUE
y76_darkglay,メンズアームカバー 2組セット,,ダークグレー,,,,,,y76_darkglay,,0,0,0,0,,,,,TRUE
y76_navy,メンズアームカバー 2組セット,,ネイビー,,,,,,y76_navy,,0,0,0,0,,,,,TRUE
